Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,CO2 Emissions(g/km),vehicle_key,demand_target,revenue_target,car_price
ACURA,ILX,COMPACT,2.0,4,AS5,Z,196,COMPACT_Z_AS5_medium,4209,143526900.0,34100.0
ACURA,ILX,COMPACT,2.4,4,M6,Z,221,COMPACT_Z_M6_medium,3750,134625000.0,35900.0
ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Z,136,COMPACT_Z_AV7_small,4876,155300600.0,31850.0
ACURA,MDX 4WD,SUV - SMALL,3.5,6,AS6,Z,255,SUV - SMALL_Z_AS6_large,3436,146545400.0,42650.0
ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,244,SUV - SMALL_Z_AS6_large,3090,131788500.0,42650.0
ACURA,RLX,MID-SIZE,3.5,6,AS6,Z,230,MID-SIZE_Z_AS6_large,3067,130807550.0,42650.0
ACURA,TL,MID-SIZE,3.5,6,AS6,Z,232,MID-SIZE_Z_AS6_large,3504,149445600.0,42650.0
ACURA,TL AWD,MID-SIZE,3.7,6,AS6,Z,255,MID-SIZE_Z_AS6_xlarge,3078,134046900.0,43550.0
ACURA,TL AWD,MID-SIZE,3.7,6,M6,Z,267,MID-SIZE_Z_M6_xlarge,2672,116365600.0,43550.0
ACURA,TSX,COMPACT,2.4,4,AS5,Z,212,COMPACT_Z_AS5_medium,4000,143600000.0,35900.0
ACURA,TSX,COMPACT,2.4,4,M6,Z,225,COMPACT_Z_M6_medium,3633,130424700.0,35900.0
ACURA,TSX,COMPACT,3.5,6,AS5,Z,239,COMPACT_Z_AS5_large,3213,137034450.0,42650.0
HONDA,ACCORD,MID-SIZE,2.4,4,AV,X,182,MID-SIZE_X_AV_medium,3875,125550000.0,32400.0
HONDA,ACCORD,MID-SIZE,2.4,4,AV7,X,186,MID-SIZE_X_AV7_medium,3677,119134800.0,32400.0
HONDA,ACCORD,MID-SIZE,2.4,4,M6,X,200,MID-SIZE_X_M6_medium,4006,129794400.0,32400.0
HONDA,ACCORD,MID-SIZE,3.5,6,A6,X,209,MID-SIZE_X_A6_large,3393,132835950.0,39150.0
HONDA,ACCORD,MID-SIZE,3.5,6,AS6,X,221,MID-SIZE_X_AS6_large,3120,122148000.0,39150.0
HONDA,ACCORD,MID-SIZE,3.5,6,M6,X,251,MID-SIZE_X_M6_large,3050,119407500.0,39150.0
HONDA,ACCORD HYBRID,MID-SIZE,2.0,4,AV,X,110,MID-SIZE_X_AV_medium,4556,139413600.0,30600.0
HONDA,CIVIC,COMPACT,1.8,4,AV,X,161,COMPACT_X_AV_medium,5241,155657700.0,29700.0
HONDA,CIVIC,COMPACT,1.8,4,AV7,X,166,COMPACT_X_AV7_medium,4992,148262400.0,29700.0
HONDA,CIVIC,COMPACT,1.8,4,M5,X,175,COMPACT_X_M5_medium,4683,139085100.0,29700.0
HONDA,CROSSTOUR AWD,SUV - SMALL,3.5,6,A6,X,246,SUV - SMALL_X_A6_large,3774,147752100.0,39150.0
HONDA,CR-V,SUV - SMALL,2.4,4,A5,X,209,SUV - SMALL_X_A5_medium,4072,131932800.0,32400.0
HONDA,CR-V AWD,SUV - SMALL,2.4,4,A5,X,216,SUV - SMALL_X_A5_medium,3773,122245200.0,32400.0
HONDA,CR-Z,TWO-SEATER,1.5,4,AV7,X,145,TWO-SEATER_X_AV7_small,2690,108541500.0,40350.0
HONDA,CR-Z,TWO-SEATER,1.5,4,M6,X,159,TWO-SEATER_X_M6_small,2382,96113700.0,40350.0
HONDA,FIT,STATION WAGON - SMALL,1.5,4,A5,X,172,STATION WAGON - SMALL_X_A5_small,3524,99905400.0,28350.0
HONDA,FIT,STATION WAGON - SMALL,1.5,4,M5,X,177,STATION WAGON - SMALL_X_M5_small,3697,104809950.0,28350.0
HONDA,ODYSSEY,MINIVAN,3.5,6,A6,X,244,MINIVAN_X_A6_large,2519,98618850.0,39150.0
HONDA,PILOT,SUV - SMALL,3.5,6,A5,X,265,SUV - SMALL_X_A5_large,2884,112908600.0,39150.0
HONDA,PILOT AWD,SUV - SMALL,3.5,6,A5,X,276,SUV - SMALL_X_A5_large,3360,131544000.0,39150.0
HONDA,RIDGELINE AWD,PICKUP TRUCK - STANDARD,3.5,6,A5,X,308,PICKUP TRUCK - STANDARD_X_A5_large,2646,103590900.0,39150.0
INFINITI,Q50,MID-SIZE,3.7,6,AS7,Z,235,MID-SIZE_Z_AS7_xlarge,2641,115015550.0,43550.0
INFINITI,Q50 AWD,MID-SIZE,3.7,6,AS7,Z,248,MID-SIZE_Z_AS7_xlarge,2955,128690250.0,43550.0
INFINITI,Q50 HYBRID,COMPACT,3.5,6,AS7,Z,172,COMPACT_Z_AS7_large,3986,170002900.0,42650.0
INFINITI,Q50 HYBRID AWD,COMPACT,3.5,6,AS7,Z,189,COMPACT_Z_AS7_large,3545,151194250.0,42650.0
